Session,start,End,Name,State,Party,Body,Session
90th (1967-1969),1967,1969,"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,90
90th (1967-1969),1967,1969,"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,90
90th (1967-1969),1967,1969,"POWELL, Adam Clayton, Jr. 1",NY,Democrat,House,90
91st (1969-1971),1969,1971,,,,,91
91st (1969-1971),1969,1971,"BROOKE, Edward William, III",MA,Republican,Senate,91
91st (1969-1971),1969,1971,"CHISHOLM, Shirley Anita",NY,Democrat,House,91
91st (1969-1971),1969,1971,"CLAY, William Lacy, Sr.",MO,Democrat,House,91
91st (1969-1971),1969,1971,"COLLINS, George Washington",IL,Democrat,House,91
91st (1969-1971),1969,1971,"CONYERS, John, Jr.",MI,Democrat,House,91
91st (1969-1971),1969,1971,"DAWSON, William Levi",IL,Democrat,House,91
91st (1969-1971),1969,1971,"DIGGS, Charles Coles, Jr.",MI,Democrat,House,91
91st (1969-1971),1969,1971,"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,91
91st (1969-1971),1969,1971,"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,91
91st (1969-1971),1969,1971,"POWELL, Adam Clayton, Jr.",NY,Democrat,House,91
91st (1969-1971),1969,1971,"STOKES, Louis",OH,Democrat,House,91
92nd (1971-1973),1971,1973,,,,,92
92nd (1971-1973),1971,1973,"BROOKE, Edward William, III",MA,Republican,Senate,92
92nd (1971-1973),1971,1973,"CHISHOLM, Shirley Anita",NY,Democrat,House,92
92nd (1971-1973),1971,1973,"CLAY, William Lacy, Sr.",MO,Democrat,House,92
92nd (1971-1973),1971,1973,"COLLINS, George Washington",IL,Democrat,House,92
92nd (1971-1973),1971,1973,"CONYERS, John, Jr.",MI,Democrat,House,92
92nd (1971-1973),1971,1973,"DELLUMS, Ronald V.",CA,Democrat,House,92
92nd (1971-1973),1971,1973,"DIGGS, Charles Coles, Jr.",MI,Democrat,House,92
92nd (1971-1973),1971,1973,"FAUNTROY, Walter Edward",DC,Democrat,House,92
92nd (1971-1973),1971,1973,"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,92
92nd (1971-1973),1971,1973,"METCALFE, Ralph Harold",IL,Democrat,House,92
92nd (1971-1973),1971,1973,"MITCHELL, Parren James",MD,Democrat,House,92
92nd (1971-1973),1971,1973,"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,92
92nd (1971-1973),1971,1973,"RANGEL, Charles B.",NY,Democrat,House,92
92nd (1971-1973),1971,1973,"STOKES, Louis",OH,Democrat,House,92
93rd (1973-1975),1973,1975,,,,,93
93rd (1973-1975),1973,1975,"BROOKE, Edward William, III",MA,Republican,Senate,93
93rd (1973-1975),1973,1975,"BURKE, Yvonne Brathwaite",CA,Democrat,House,93
93rd (1973-1975),1973,1975,"CHISHOLM, Shirley Anita",NY,Democrat,House,93
93rd (1973-1975),1973,1975,"CLAY, William Lacy, Sr.",MO,Democrat,House,93
93rd (1973-1975),1973,1975,"COLLINS, Cardiss",IL,Democrat,House,93
93rd (1973-1975),1973,1975,"CONYERS, John, Jr.",MI,Democrat,House,93
93rd (1973-1975),1973,1975,"DELLUMS, Ronald V.",CA,Democrat,House,93
93rd (1973-1975),1973,1975,"DIGGS, Charles Coles, Jr.",MI,Democrat,House,93
93rd (1973-1975),1973,1975,"FAUNTROY, Walter Edward",DC,Democrat,House,93
93rd (1973-1975),1973,1975,"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,93
93rd (1973-1975),1973,1975,"JORDAN, Barbara Charline",TX,Democrat,House,93
93rd (1973-1975),1973,1975,"METCALFE, Ralph Harold",IL,Democrat,House,93
93rd (1973-1975),1973,1975,"MITCHELL, Parren James",MD,Democrat,House,93
93rd (1973-1975),1973,1975,"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,93
93rd (1973-1975),1973,1975,"RANGEL, Charles B.",NY,Democrat,House,93
93rd (1973-1975),1973,1975,"STOKES, Louis",OH,Democrat,House,93
93rd (1973-1975),1973,1975,"YOUNG, Andrew Jackson, Jr.",GA,Democrat,House,93
94th (1975-1977),1975,1977,,,,,94
94th (1975-1977),1975,1977,"BROOKE, Edward William, III",MA,Republican,Senate,94
94th (1975-1977),1975,1977,"BURKE, Yvonne Brathwaite",CA,Democrat,House,94
94th (1975-1977),1975,1977,"CHISHOLM, Shirley Anita",NY,Democrat,House,94
94th (1975-1977),1975,1977,"CLAY, William Lacy, Sr.",MO,Democrat,House,94
94th (1975-1977),1975,1977,"COLLINS, Cardiss",IL,Democrat,House,94
94th (1975-1977),1975,1977,"CONYERS, John, Jr.",MI,Democrat,House,94
94th (1975-1977),1975,1977,"DELLUMS, Ronald V.",CA,Democrat,House,94
94th (1975-1977),1975,1977,"DIGGS, Charles Coles, Jr.",MI,Democrat,House,94
94th (1975-1977),1975,1977,"FAUNTROY, Walter Edward",DC,Democrat,House,94
94th (1975-1977),1975,1977,"FORD, Harold Eugene",TN,Democrat,House,94
94th (1975-1977),1975,1977,"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,94
94th (1975-1977),1975,1977,"JORDAN, Barbara Charline",TX,Democrat,House,94
94th (1975-1977),1975,1977,"METCALFE, Ralph Harold",IL,Democrat,House,94
94th (1975-1977),1975,1977,"MITCHELL, Parren James",MD,Democrat,House,94
94th (1975-1977),1975,1977,"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,94
94th (1975-1977),1975,1977,"RANGEL, Charles B.",NY,Democrat,House,94
94th (1975-1977),1975,1977,"STOKES, Louis",OH,Democrat,House,94
94th (1975-1977),1975,1977,"YOUNG, Andrew Jackson, Jr.",GA,Democrat,House,94
95th (1977-1979),1977,1979,,,,,95
95th (1977-1979),1977,1979,"BROOKE, Edward William, III",MA,Republican,Senate,95
95th (1977-1979),1977,1979,"BURKE, Yvonne Brathwaite",CA,Democrat,House,95
95th (1977-1979),1977,1979,"CHISHOLM, Shirley Anita",NY,Democrat,House,95
95th (1977-1979),1977,1979,"CLAY, William Lacy, Sr.",MO,Democrat,House,95
95th (1977-1979),1977,1979,"COLLINS, Cardiss",IL,Democrat,House,95
95th (1977-1979),1977,1979,"CONYERS, John, Jr.",MI,Democrat,House,95
95th (1977-1979),1977,1979,"DELLUMS, Ronald V.",CA,Democrat,House,95
95th (1977-1979),1977,1979,"DIGGS, Charles Coles, Jr.",MI,Democrat,House,95
95th (1977-1979),1977,1979,"FAUNTROY, Walter Edward",DC,Democrat,House,95
95th (1977-1979),1977,1979,"FORD, Harold Eugene",TN,Democrat,House,95
95th (1977-1979),1977,1979,"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,95
95th (1977-1979),1977,1979,"JORDAN, Barbara Charline",TX,Democrat,House,95
95th (1977-1979),1977,1979,"METCALFE, Ralph Harold",IL,Democrat,House,95
95th (1977-1979),1977,1979,"MITCHELL, Parren James",MD,Democrat,House,95
95th (1977-1979),1977,1979,"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,95
95th (1977-1979),1977,1979,"RANGEL, Charles B.",NY,Democrat,House,95
95th (1977-1979),1977,1979,"STOKES, Louis",OH,Democrat,House,95
95th (1977-1979),1977,1979,"YOUNG, Andrew Jackson, Jr.",GA,Democrat,House,95
96th (1979-1981),1979,1981,,,,,96
96th (1979-1981),1979,1981,"CHISHOLM, Shirley Anita",NY,Democrat,House,96
96th (1979-1981),1979,1981,"CLAY, William Lacy, Sr.",MO,Democrat,House,96
96th (1979-1981),1979,1981,"COLLINS, Cardiss",IL,Democrat,House,96
96th (1979-1981),1979,1981,"CONYERS, John, Jr.",MI,Democrat,House,96
96th (1979-1981),1979,1981,"CROCKETT, George William, Jr.",MI,Democrat,House,96
96th (1979-1981),1979,1981,"DELLUMS, Ronald V.",CA,Democrat,House,96
96th (1979-1981),1979,1981,"DIGGS, Charles Coles, Jr. 2",MI,Democrat,House,96
96th (1979-1981),1979,1981,"DIXON, Julian Carey",CA,Democrat,House,96
96th (1979-1981),1979,1981,"EVANS, Melvin Herbert",VI,Republican,House,96
96th (1979-1981),1979,1981,"FAUNTROY, Walter Edward",DC,Democrat,House,96
96th (1979-1981),1979,1981,"FORD, Harold Eugene",TN,Democrat,House,96
96th (1979-1981),1979,1981,"GRAY, William Herbert, III",PA,Democrat,House,96
96th (1979-1981),1979,1981,"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,96
96th (1979-1981),1979,1981,"LELAND, George Thomas (Mickey)",TX,Democrat,House,96
96th (1979-1981),1979,1981,"MITCHELL, Parren James",MD,Democrat,House,96
96th (1979-1981),1979,1981,"RANGEL, Charles B.",NY,Democrat,House,96
96th (1979-1981),1979,1981,"STEWART, Bennett McVey",IL,Democrat,House,96
96th (1979-1981),1979,1981,"STOKES, Louis",OH,Democrat,House,96
97th (1981-1983),1981,1983,,,,,97
97th (1981-1983),1981,1983,"CHISHOLM, Shirley Anita",NY,Democrat,House,97
97th (1981-1983),1981,1983,"CLAY, William Lacy, Sr.",MO,Democrat,House,97
97th (1981-1983),1981,1983,"COLLINS, Cardiss",IL,Democrat,House,97
97th (1981-1983),1981,1983,"CONYERS, John, Jr.",MI,Democrat,House,97
97th (1981-1983),1981,1983,"CROCKETT, George William, Jr.",MI,Democrat,House,97
97th (1981-1983),1981,1983,"DELLUMS, Ronald V.",CA,Democrat,House,97
97th (1981-1983),1981,1983,"DIXON, Julian Carey",CA,Democrat,House,97
97th (1981-1983),1981,1983,"DYMALLY, Mervyn Malcolm",CA,Democrat,House,97
97th (1981-1983),1981,1983,"FAUNTROY, Walter Edward",DC,Democrat,House,97
97th (1981-1983),1981,1983,"FORD, Harold Eugene",TN,Democrat,House,97
97th (1981-1983),1981,1983,"GRAY, William Herbert, III",PA,Democrat,House,97
97th (1981-1983),1981,1983,"HALL, Katie Beatrice 3",IN,Democrat,House,97
97th (1981-1983),1981,1983,"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,97
97th (1981-1983),1981,1983,"LELAND, George Thomas (Mickey)",TX,Democrat,House,97
97th (1981-1983),1981,1983,"MITCHELL, Parren James",MD,Democrat,House,97
97th (1981-1983),1981,1983,"RANGEL, Charles B.",NY,Democrat,House,97
97th (1981-1983),1981,1983,"SAVAGE, Gus",IL,Democrat,House,97
97th (1981-1983),1981,1983,"STOKES, Louis",OH,Democrat,House,97
97th (1981-1983),1981,1983,"WASHINGTON, Harold",IL,Democrat,House,97
98th (1983-1985),1983,1985,,,,,98
98th (1983-1985),1983,1985,"CLAY, William Lacy, Sr.",MO,Democrat,House,98
98th (1983-1985),1983,1985,"COLLINS, Cardiss",IL,Democrat,House,98
98th (1983-1985),1983,1985,"CONYERS, John, Jr.",MI,Democrat,House,98
98th (1983-1985),1983,1985,"CROCKETT, George William, Jr.",MI,Democrat,House,98
98th (1983-1985),1983,1985,"DELLUMS, Ronald V.",CA,Democrat,House,98
98th (1983-1985),1983,1985,"DIXON, Julian Carey",CA,Democrat,House,98
98th (1983-1985),1983,1985,"DYMALLY, Mervyn Malcolm",CA,Democrat,House,98
98th (1983-1985),1983,1985,"FAUNTROY, Walter Edward",DC,Democrat,House,98
98th (1983-1985),1983,1985,"FORD, Harold Eugene",TN,Democrat,House,98
98th (1983-1985),1983,1985,"GRAY, William Herbert, III",PA,Democrat,House,98
98th (1983-1985),1983,1985,"HALL, Katie Beatrice",IN,Democrat,House,98
98th (1983-1985),1983,1985,"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,98
98th (1983-1985),1983,1985,"HAYES, Charles Arthur",IL,Democrat,House,98
98th (1983-1985),1983,1985,"LELAND, George Thomas (Mickey)",TX,Democrat,House,98
98th (1983-1985),1983,1985,"MITCHELL, Parren James",MD,Democrat,House,98
98th (1983-1985),1983,1985,"OWENS, Major Robert Odell",NY,Democrat,House,98
98th (1983-1985),1983,1985,"RANGEL, Charles B.",NY,Democrat,House,98
98th (1983-1985),1983,1985,"SAVAGE, Gus",IL,Democrat,House,98
98th (1983-1985),1983,1985,"STOKES, Louis",OH,Democrat,House,98
98th (1983-1985),1983,1985,"TOWNS, Edolphus",NY,Democrat,House,98
98th (1983-1985),1983,1985,"WASHINGTON, Harold",IL,Democrat,House,98
98th (1983-1985),1983,1985,"WHEAT, Alan Dupree",MO,Democrat,House,98
99th (1985-1987),1985,1987,,,,,99
99th (1985-1987),1985,1987,"CLAY, William Lacy, Sr.",MO,Democrat,House,99
99th (1985-1987),1985,1987,"COLLINS, Cardiss",IL,Democrat,House,99
99th (1985-1987),1985,1987,"CONYERS, John, Jr.",MI,Democrat,House,99
99th (1985-1987),1985,1987,"CROCKETT, George William, Jr.",MI,Democrat,House,99
99th (1985-1987),1985,1987,"DELLUMS, Ronald V.",CA,Democrat,House,99
99th (1985-1987),1985,1987,"DIXON, Julian Carey",CA,Democrat,House,99
99th (1985-1987),1985,1987,"DYMALLY, Mervyn Malcolm",CA,Democrat,House,99
99th (1985-1987),1985,1987,"FAUNTROY, Walter Edward",DC,Democrat,House,99
99th (1985-1987),1985,1987,"FORD, Harold Eugene",TN,Democrat,House,99
99th (1985-1987),1985,1987,"GRAY, William Herbert, III",PA,Democrat,House,99
99th (1985-1987),1985,1987,"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,99
99th (1985-1987),1985,1987,"HAYES, Charles Arthur",IL,Democrat,House,99
99th (1985-1987),1985,1987,"LELAND, George Thomas (Mickey)",TX,Democrat,House,99
99th (1985-1987),1985,1987,"MITCHELL, Parren James",MD,Democrat,House,99
99th (1985-1987),1985,1987,"OWENS, Major Robert Odell",NY,Democrat,House,99
99th (1985-1987),1985,1987,"RANGEL, Charles B.",NY,Democrat,House,99
99th (1985-1987),1985,1987,"SAVAGE, Gus",IL,Democrat,House,99
99th (1985-1987),1985,1987,"STOKES, Louis",OH,Democrat,House,99
99th (1985-1987),1985,1987,"TOWNS, Edolphus",NY,Democrat,House,99
99th (1985-1987),1985,1987,"WALDON, Alton R., Jr.",NY,Democrat,House,99
99th (1985-1987),1985,1987,"WHEAT, Alan Dupree",MO,Democrat,House,99
100th (1987-1989),1987,1989,,,,,100
100th (1987-1989),1987,1989,"CLAY, William Lacy, Sr.",MO,Democrat,House,100
100th (1987-1989),1987,1989,"COLLINS, Cardiss",IL,Democrat,House,100
100th (1987-1989),1987,1989,"CONYERS, John, Jr.",MI,Democrat,House,100
100th (1987-1989),1987,1989,"CROCKETT, George William, Jr.",MI,Democrat,House,100
100th (1987-1989),1987,1989,"DELLUMS, Ronald V.",CA,Democrat,House,100
100th (1987-1989),1987,1989,"DIXON, Julian Carey",CA,Democrat,House,100
100th (1987-1989),1987,1989,"DYMALLY, Mervyn Malcolm",CA,Democrat,House,100
100th (1987-1989),1987,1989,"ESPY, Alphonso Michael (Mike)",MS,Democrat,House,100
100th (1987-1989),1987,1989,"FAUNTROY, Walter Edward",DC,Democrat,House,100
100th (1987-1989),1987,1989,"FLAKE, Floyd Harold",NY,Democrat,House,100
100th (1987-1989),1987,1989,"FORD, Harold Eugene",TN,Democrat,House,100
100th (1987-1989),1987,1989,"GRAY, William Herbert, III",PA,Democrat,House,100
100th (1987-1989),1987,1989,"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,100
100th (1987-1989),1987,1989,"HAYES, Charles Arthur",IL,Democrat,House,100
100th (1987-1989),1987,1989,"LELAND, George Thomas (Mickey)",TX,Democrat,House,100
100th (1987-1989),1987,1989,"LEWIS, John R.",GA,Democrat,House,100
100th (1987-1989),1987,1989,"MFUME, Kweisi",MD,Democrat,House,100
100th (1987-1989),1987,1989,"OWENS, Major Robert Odell",NY,Democrat,House,100
100th (1987-1989),1987,1989,"RANGEL, Charles B.",NY,Democrat,House,100
100th (1987-1989),1987,1989,"SAVAGE, Gus",IL,Democrat,House,100
100th (1987-1989),1987,1989,"STOKES, Louis",OH,Democrat,House,100
100th (1987-1989),1987,1989,"TOWNS, Edolphus",NY,Democrat,House,100
100th (1987-1989),1987,1989,"WHEAT, Alan Dupree",MO,Democrat,House,100
101st (1989-1991),1989,1991,,,,,101
101st (1989-1991),1989,1991,"CLAY, William Lacy, Sr.",MO,Democrat,House,101
101st (1989-1991),1989,1991,"COLLINS, Cardiss",IL,Democrat,House,101
101st (1989-1991),1989,1991,"CONYERS, John, Jr.",MI,Democrat,House,101
101st (1989-1991),1989,1991,"CROCKETT, George William, Jr.",MI,Democrat,House,101
101st (1989-1991),1989,1991,"DELLUMS, Ronald V.",CA,Democrat,House,101
101st (1989-1991),1989,1991,"DIXON, Julian Carey",CA,Democrat,House,101
101st (1989-1991),1989,1991,"DYMALLY, Mervyn Malcolm",CA,Democrat,House,101
101st (1989-1991),1989,1991,"ESPY, Alphonso Michael (Mike)",MS,Democrat,House,101
101st (1989-1991),1989,1991,"FAUNTROY, Walter Edward",DC,Democrat,House,101
101st (1989-1991),1989,1991,"FLAKE, Floyd Harold",NY,Democrat,House,101
101st (1989-1991),1989,1991,"FORD, Harold Eugene",TN,Democrat,House,101
101st (1989-1991),1989,1991,"GRAY, William Herbert, III",PA,Democrat,House,101
101st (1989-1991),1989,1991,"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,101
101st (1989-1991),1989,1991,"HAYES, Charles Arthur",IL,Democrat,House,101
101st (1989-1991),1989,1991,"LELAND, George Thomas (Mickey)",TX,Democrat,House,101
101st (1989-1991),1989,1991,"LEWIS, John R.",GA,Democrat,House,101
101st (1989-1991),1989,1991,"MFUME, Kweisi",MD,Democrat,House,101
101st (1989-1991),1989,1991,"OWENS, Major Robert Odell",NY,Democrat,House,101
101st (1989-1991),1989,1991,"PAYNE, Donald Milford",NJ,Democrat,House,101
101st (1989-1991),1989,1991,"RANGEL, Charles B.",NY,Democrat,House,101
101st (1989-1991),1989,1991,"SAVAGE, Gus",IL,Democrat,House,101
101st (1989-1991),1989,1991,"STOKES, Louis",OH,Democrat,House,101
101st (1989-1991),1989,1991,"TOWNS, Edolphus",NY,Democrat,House,101
101st (1989-1991),1989,1991,"WASHINGTON, Craig Anthony",TX,Democrat,House,101
101st (1989-1991),1989,1991,"WHEAT, Alan Dupree",MO,Democrat,House,101
102nd (1991-1993),1991,1993,,,,,102
102nd (1991-1993),1991,1993,"BLACKWELL, Lucien Edward",PA,Democrat,House,102
102nd (1991-1993),1991,1993,"CLAY, William Lacy, Sr.",MO,Democrat,House,102
102nd (1991-1993),1991,1993,"CLAYTON, Eva M. 4",NC,Democrat,House,102
102nd (1991-1993),1991,1993,"COLLINS, Barbara-Rose",MI,Democrat,House,102
102nd (1991-1993),1991,1993,"COLLINS, Cardiss",IL,Democrat,House,102
